Item,Qty,Reference(s),Value,Distributor Part #,Part #,Unit Price,Price
1,1,A1,Arduino_Nano_v3.x,1050-ABX00033-ND,ABX00033,14.91,14.91
2,6,"C1, C2, C4, C5, C6, C10",0.1uF,BC2665CT-ND,K104K10X7RF5UH5,0.23,1.38
3,1,C3,10uF,445-173437-1-ND,FG26X7R1E106KRT06,0.65,0.65
4,2,"C7, C8",10nF,BC2662CT-ND,K103K10X7RF5UH5,0.22,0.44
5,2,"C9, C11",100pF,56-K101J10C0GF5UH5CT-ND,K101J10C0GF5UH5,0.23,0.46
6,1,D1,SA13A,SA13A-E3/54GICT-ND,SA13A-E3/54,0.46,0.46
7,1,D2,SA13CA,SA13CACT-ND,SA13CA,0.49,0.49
8,3,"D3, D4, D5",BZX79-C2V4,1727-2115-1-ND,"BZX79-C2V4,113",0.16,0.48
9,1,D6,WP7113SGD,754-1735-ND,WP7113SGD,0.34,0.34
10,1,D7,WP7113ID,754-1264-ND,WP7113ID,0.1,0.1
11,8,"D8, D9, D10, D11, D12, D13, D14, D15",1N4148,1N4148FS-ND,1N4148,0.1,0.8
12,1,D16,1N5817,497-4547-1-ND,1N5817,0.44,0.44
13,1,F1,3A,507-1896-1-ND,0685T3000-01,0.32,0.32
14,1,F2,1A,507-1077-1-ND,C1Q 1,0.33,0.33
15,4,"HS1, HS2, HS3, HS4",13.40Â°C/W,HS351-ND,531002B02500G,1.55,6.2
16,1,J1,DUT Connector,102-6179-ND,TB004-508-02BE,0.71,0.71
17,1,J2,Power Input,102-6179-ND,TB004-508-02BE,0.71,0.71
18,2,"Q1, Q3",TIP122,TIP122GOS-ND,TIP122G,0.79,1.58
19,2,"Q2, Q4",TIP127,TIP127GOS-ND,TIP127G,1.37,2.74
20,11,"R1, R2, R3, R6, R7, R22, R24, R25, R26, R27, R33",10k,CF14JT10K0CT-ND,CF14JT10K0,0.1,1.1
21,4,"R4, R31, R34, R35",4.7k,CF14JT4K70CT-ND,CF14JT4K70,0.1,0.4
22,3,"R5, R23, R29",4.02k+/-0.1%,1712-YR1B4K02CT-ND,YR1B4K02,0.63,1.89
23,4,"R8, R18, R20, R28",1k+/-0.1%,A105942CT-ND,YR1B1K0CC,0.63,2.52
24,3,"R9, R30, R32",1k,13-MFR-25FRF52-1KCT-ND,MFR-25FRF52-1K,0.1,0.3
25,2,"R10, R19",11.8k+/-0.1%,1712-YR1B11K8CCCT-ND,YR1B11K8CC,0.63,1.26
26,2,"R11, R12",619,619XBK-ND,MFR-25FBF52-619R,0.1,0.2
27,2,"R13, R37",1+/-1%,RMCF2512FT1R00CT-ND,RMCF2512FT1R00,0.27,0.54
28,4,"R14, R15, R16, R17",10k+/-0.1%,A105970CT-ND,YR1B10KCC,0.63,2.52
29,1,R21,14k,14.0KXBK-ND,MFR-25FBF52-14K,0.1,0.1
30,1,R36,1.5,A121179CT-ND,35221R5JT,1.22,1.22
31,6,"TP1, TP2, TP3, TP4, TP5, TP6",4952,36-4952-ND,4952,0.26,1.56
32,1,U1,MCP4911,MCP4911-E/P-ND,MCP4911-E/P,1.97,1.97
33,1,U2,LMC6484A,LMC6484IN/NOPB-ND,LMC6484IN/NOPB,2.83,2.83
34,1,U3,MCP3204,MCP3204-CI/P-ND,MCP3204-CI/P,4.52,4.52
35,1,U4,LM385BZ-2.5,LM385BZ-2.5GOS-ND,LM385BZ-2.5G,0.78,0.78
,,,,,,,57.25
